x,y,speed,yaw
-5.70,-0.15,1.04,-0.0002
-5.30,-0.15,1.43,-0.0010
-4.89,-0.15,1.74,-0.0018
-4.48,-0.15,2.00,-0.0025
-4.08,-0.15,2.23,-0.0031
-3.67,-0.16,2.44,-0.0036
-3.27,-0.16,2.63,-0.0039
-2.86,-0.16,2.81,-0.0043
-2.45,-0.16,2.98,-0.0045
-2.05,-0.16,3.14,-0.0046
-1.64,-0.16,3.29,-0.0046
-1.23,-0.17,3.44,-0.0046
-0.83,-0.17,3.58,-0.0044
-0.42,-0.17,3.71,-0.0042
-0.01,-0.17,3.84,-0.0038
0.39,-0.17,3.96,-0.0034
0.80,-0.17,4.00,-0.0029
1.21,-0.18,4.00,-0.0023
1.61,-0.18,4.00,-0.0016
2.02,-0.18,4.00,-0.0008
2.42,-0.18,4.00,-0.0003
2.83,-0.18,4.00,-0.0002
3.24,-0.18,4.00,-0.0005
3.64,-0.18,4.00,-0.0013
4.05,-0.18,3.90,-0.0024
4.45,-0.18,3.78,-0.0040
4.86,-0.18,3.65,-0.0060
5.27,-0.18,3.51,-0.0085
5.68,-0.19,3.37,-0.0113
6.08,-0.19,3.22,-0.0144
6.49,-0.20,3.06,-0.0170
6.90,-0.20,2.90,-0.0190
7.31,-0.21,2.72,-0.0202
7.72,-0.22,2.54,0.0285
8.11,-0.21,2.34,0.2756
8.47,-0.11,2.14,0.6392
8.78,0.12,2.35,0.8336
9.06,0.43,2.55,0.8766
9.33,0.76,2.75,0.9212
9.59,1.09,2.67,1.0881
9.77,1.44,2.49,1.3633
9.85,1.81,2.66,1.5430
9.86,2.21,2.84,1.5890
9.85,2.62,3.00,1.6010
9.84,3.03,3.17,1.6129
9.82,3.44,3.32,1.6158
9.80,3.85,3.46,1.6047
9.79,4.25,3.60,1.5795
9.78,4.66,3.68,1.5414
9.80,5.06,3.54,1.5128
9.82,5.46,3.40,1.5114
9.84,5.87,3.26,1.5375
9.86,6.28,3.10,1.5907
9.85,6.69,2.94,1.6700
9.81,7.10,2.77,1.7730
9.72,7.52,2.58,1.9049
9.58,7.92,2.37,2.1023
9.38,8.27,2.15,2.4185
9.10,8.52,1.94,2.8549
8.74,8.62,2.15,3.1231
8.33,8.63,2.37,3.1698
7.91,8.62,2.57,3.1595
7.50,8.61,2.76,3.1504
7.09,8.61,2.94,3.1428
6.68,8.61,3.10,3.1368
6.27,8.61,3.25,3.1323
5.86,8.61,3.40,3.1294
5.46,8.62,3.54,3.1281
5.06,8.62,3.67,3.1285
4.65,8.63,3.80,3.1305
4.25,8.63,3.93,3.1335
3.84,8.63,4.00,3.1360
3.44,8.64,4.00,3.1379
3.03,8.64,4.00,3.1391
2.62,8.64,4.00,3.1396
2.22,8.64,4.00,3.1395
1.81,8.64,4.00,3.1387
1.40,8.64,4.00,3.1373
1.00,8.64,4.00,3.1357
0.59,8.65,4.00,3.1344
0.18,8.65,4.00,3.1332
-0.22,8.65,4.00,3.1322
-0.63,8.66,4.00,3.1315
-1.04,8.66,4.00,3.1309
-1.44,8.67,4.00,3.1306
-1.85,8.67,4.00,3.1305
-2.26,8.67,4.00,3.1306
-2.66,8.68,4.00,3.1310
-3.07,8.68,4.00,3.1315
-3.48,8.69,4.00,3.1322
-3.88,8.69,4.00,3.1332
-4.29,8.69,4.00,3.1344
-4.70,8.70,4.00,3.1358
-5.10,8.70,4.00,3.1374
-5.51,8.70,4.00,3.1392
-5.91,8.70,4.00,3.1412
-6.32,8.70,4.00,3.1435
-6.72,8.70,4.00,3.1457
-7.13,8.70,4.00,3.1476
-7.53,8.70,4.00,3.1491
-7.94,8.69,4.00,3.1503
-8.35,8.69,4.00,3.1510
-8.75,8.69,4.00,3.1514
-9.16,8.68,4.00,3.1515
-9.57,8.68,3.95,3.1512
-9.98,8.68,3.82,3.1505
-10.39,8.67,3.69,3.1501
-10.80,8.67,3.55,3.1704
-11.21,8.66,3.41,3.2358
-11.61,8.62,3.27,3.3524
-11.99,8.54,3.12,3.5230
-12.35,8.39,2.97,3.7183
-12.68,8.18,3.12,3.8968
-12.97,7.90,3.26,4.0631
-13.22,7.58,3.28,4.2266
-13.40,7.23,3.23,4.3946
-13.53,6.85,3.37,4.5443
-13.59,6.46,3.51,4.6548
-13.62,6.06,3.64,4.7264
-13.61,5.65,3.78,4.7617
-13.59,5.24,3.90,4.7625
-13.57,4.83,4.00,4.7311
-13.56,4.42,4.00,4.6915
-13.57,4.02,4.00,4.6601
-13.59,3.61,3.92,4.6378
-13.62,3.21,3.79,4.6268
-13.66,2.80,3.66,4.6485
-13.68,2.40,3.52,4.7182
-13.68,1.99,3.38,4.8381
-13.63,1.59,3.24,5.0031
-13.51,1.20,3.08,5.1608
-13.34,0.83,2.92,5.2888
-13.11,0.49,2.75,5.4302
-12.86,0.20,2.57,5.6499
-12.56,-0.02,2.39,5.9338
-12.21,-0.15,2.57,6.1579
-11.83,-0.20,2.74,6.2965
-11.42,-0.19,2.92,6.3658
-11.00,-0.16,3.09,6.3784
-10.57,-0.12,3.25,6.3374
-10.15,-0.09,3.40,6.2717
-9.75,-0.10,3.27,6.2309
-9.35,-0.12,3.13,6.2223
-8.96,-0.14,2.97,6.2451
-8.56,-0.16,2.80,6.2758
-8.15,-0.16,2.62,6.2958
-7.74,-0.16,2.43,6.3053
-7.33,-0.15,2.22,6.3044
-6.92,-0.14,1.98,6.2932
-6.51,-0.13,1.72,6.2712
-6.10,-0.14,1.40,6.2380
-5.70,-0.16,1.01,6.2380
