x,y,speed,yaw
-6.20,-0.12,4.00,-0.0161
-5.80,-0.13,4.00,-0.0137
-5.40,-0.13,4.00,-0.0115
-5.00,-0.14,4.00,-0.0095
-4.60,-0.14,4.00,-0.0078
-4.20,-0.15,4.00,-0.0063
-3.79,-0.15,4.00,-0.0051
-3.39,-0.15,4.00,-0.0041
-2.98,-0.15,4.00,-0.0034
-2.58,-0.15,4.00,-0.0028
-2.17,-0.15,4.00,-0.0026
-1.77,-0.16,4.00,-0.0025
-1.36,-0.16,4.00,-0.0027
-0.95,-0.16,4.00,-0.0031
-0.55,-0.16,4.00,-0.0038
-0.14,-0.16,4.00,-0.0047
0.26,-0.16,4.00,-0.0058
0.67,-0.16,4.00,-0.0072
1.07,-0.17,4.00,-0.0089
1.47,-0.17,4.00,-0.0106
1.88,-0.18,4.00,-0.0120
2.28,-0.18,4.00,-0.0129
2.68,-0.19,4.00,-0.0133
3.08,-0.19,4.00,-0.0132
3.48,-0.20,4.00,-0.0126
3.88,-0.20,4.00,-0.0115
4.28,-0.21,3.94,-0.0100
4.68,-0.21,3.82,-0.0079
5.08,-0.21,3.69,-0.0054
5.49,-0.21,3.55,-0.0025
5.89,-0.22,3.41,0.0009
6.30,-0.22,3.26,0.0048
6.71,-0.21,3.11,0.0090
7.13,-0.21,2.95,0.0137
7.54,-0.20,2.77,0.0187
7.97,-0.20,2.58,0.0241
8.39,-0.19,2.38,0.0445
8.81,-0.17,2.15,0.1649
9.20,-0.10,1.92,0.4703
9.51,0.05,1.69,1.0043
9.70,0.35,1.92,1.4045
9.76,0.76,2.17,1.5310
9.78,1.21,2.40,1.5491
9.79,1.62,2.60,1.5581
9.80,2.02,2.78,1.5628
9.80,2.42,2.95,1.5602
9.80,2.82,3.11,1.5502
9.81,3.22,3.26,1.5328
9.83,3.62,3.40,1.5127
9.85,4.02,3.54,1.4999
9.88,4.43,3.68,1.4957
9.91,4.83,3.66,1.4998
9.94,5.24,3.52,1.5122
9.96,5.65,3.38,1.5331
9.98,6.06,3.23,1.5623
9.98,6.47,3.08,1.6000
9.97,6.88,2.91,1.6519
9.94,7.28,2.74,1.7449
9.87,7.67,2.56,1.8990
9.75,8.02,2.38,2.1337
9.56,8.31,2.20,2.4508
9.29,8.53,2.18,2.7946
8.93,8.67,2.38,3.0246
8.48,8.72,2.60,3.1066
8.03,8.74,2.80,3.1232
7.60,8.74,2.98,3.1337
7.20,8.75,3.14,3.1411
6.81,8.75,3.28,3.1448
6.42,8.75,3.42,3.1466
6.02,8.74,3.56,3.1480
5.62,8.74,3.69,3.1491
5.22,8.74,3.82,3.1500
4.82,8.73,3.94,3.1506
4.42,8.73,4.00,3.1509
4.01,8.73,4.00,3.1509
3.60,8.72,4.00,3.1507
3.20,8.72,4.00,3.1505
2.79,8.72,4.00,3.1503
2.39,8.71,4.00,3.1501
1.98,8.71,4.00,3.1500
1.58,8.71,4.00,3.1498
1.17,8.70,4.00,3.1497
0.77,8.70,4.00,3.1496
0.36,8.70,4.00,3.1495
-0.04,8.69,4.00,3.1494
-0.44,8.69,4.00,3.1493
-0.85,8.69,4.00,3.1492
-1.25,8.68,4.00,3.1492
-1.66,8.68,4.00,3.1492
-2.06,8.68,4.00,3.1491
-2.46,8.67,4.00,3.1491
-2.87,8.67,4.00,3.1491
-3.27,8.67,4.00,3.1492
-3.67,8.67,4.00,3.1492
-4.08,8.66,4.00,3.1492
-4.48,8.66,4.00,3.1493
-4.89,8.66,4.00,3.1494
-5.29,8.65,4.00,3.1494
-5.69,8.65,4.00,3.1495
-6.10,8.65,4.00,3.1497
-6.50,8.64,4.00,3.1498
-6.90,8.64,4.00,3.1499
-7.31,8.64,4.00,3.1501
-7.71,8.63,3.97,3.1503
-8.11,8.63,3.84,3.1504
-8.52,8.63,3.72,3.1506
-8.92,8.62,3.58,3.1508
-9.32,8.62,3.44,3.1511
-9.73,8.61,3.30,3.1513
-10.13,8.61,3.15,3.1515
-10.54,8.61,2.99,3.1515
-10.94,8.60,2.83,3.1483
-11.35,8.60,2.65,3.1406
-11.76,8.60,2.46,3.1287
-12.17,8.61,2.24,3.1137
-12.60,8.62,2.00,3.1549
-13.01,8.61,1.74,3.4015
-13.33,8.53,1.49,4.0302
-13.52,8.30,1.66,4.5531
-13.58,7.94,1.90,4.7573
-13.56,7.51,2.16,4.8084
-13.51,7.04,2.40,4.7563
-13.49,6.60,2.62,4.6599
-13.52,6.19,2.80,4.5995
-13.56,5.81,2.96,4.5919
-13.60,5.43,3.11,4.6401
-13.63,5.04,3.25,4.7037
-13.64,4.64,3.40,4.7311
-13.63,4.23,3.54,4.7222
-13.62,3.81,3.64,4.6776
-13.64,3.40,3.50,4.6200
-13.68,3.00,3.35,4.5950
-13.72,2.60,3.21,4.6085
-13.76,2.20,3.05,4.6610
-13.79,1.80,2.89,4.7511
-13.77,1.40,2.72,4.8738
-13.70,0.98,2.53,5.0260
-13.57,0.57,2.32,5.2451
-13.36,0.22,2.09,5.6011
-13.07,-0.01,1.87,6.0767
-12.70,-0.09,2.10,6.3244
-12.28,-0.07,2.33,6.3439
-11.86,-0.05,2.54,6.3162
-11.45,-0.03,2.72,6.2950
-11.05,-0.03,2.90,6.2813
-10.65,-0.03,3.06,6.2755
-10.25,-0.03,3.21,6.2780
-9.85,-0.03,3.35,6.2885
-9.44,-0.03,3.50,6.3066
-9.03,-0.03,3.64,6.3066
-8.03,-0.05,3.80,6.3066
-7.03,-0.09,3.95,6.3066
-6.20,-0.12,4.00,-0.0161
-5.80,-0.13,4.00,-0.0137
-5.40,-0.13,4.00,-0.0115
-5.00,-0.14,4.00,-0.0095
-4.60,-0.14,4.00,-0.0078
-4.20,-0.15,4.00,-0.0063
-3.79,-0.15,4.00,-0.0051
-3.39,-0.15,4.00,-0.0041
